player,coalition_without,v_without,v_with,delta_v,is_outlier
d,cbar|sbar|ubar|dbar|c,0.01992101,0.03614185,0.01622084,0
d,cbar|ubar|dbar|u,0.01694654,0.03312934,0.01618280,0
s,cbar|ubar|dbar|d|u|c,0.03473752,0.05090771,0.01617020,0
d,ubar|dbar|c,0.00861200,0.02472943,0.01611742,0
ubar,cbar|sbar|g,0.00763463,0.02370273,0.01606810,0
sbar,dbar|u|s,0.01590608,0.03195204,0.01604595,0
d,cbar|sbar|dbar|g|s,0.02094114,0.03698277,0.01604163,0
s,ubar|dbar|g|d|u|c,0.04036036,0.05638674,0.01602638,0
dbar,sbar|c,0.00628273,0.02227544,0.01599271,0
g,cbar|sbar|ubar|dbar|d|s|c,0.05309372,0.06907113,0.01597741,0
d,dbar|g|s,0.00994967,0.02587369,0.01592401,0
g,cbar|sbar|ubar|d|u|s|c,0.05629914,0.07221444,0.01591530,0
